Index,Task,Dataset,Method,InputTokens,OutputTokens,Cost,TotalTime,ResponseFile,LogTime
129,PREDICTION,Weather_sf,InfTS-LLM,386,13,0.000412,2.0760369300842285,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
130,PREDICTION,Weather_sf,InfTS-LLM,386,13,0.000412,1.8958170413970947,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
131,PREDICTION,Weather_sf,InfTS-LLM,386,13,0.000412,1.984148979187012,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
132,PREDICTION,Weather_sf,InfTS-LLM,386,13,0.000412,1.8250911235809328,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
133,PREDICTION,Weather_sf,InfTS-LLM,386,13,0.000412,1.9123411178588867,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
134,PREDICTION,Weather_sf,InfTS-LLM (+v),386,15,0.000416,7.025269031524658,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
135,PREDICTION,Weather_sf,InfTS-LLM (+v),386,13,0.000412,5.830713748931885,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
136,PREDICTION,Weather_sf,InfTS-LLM (+v),386,15,0.000416,8.208126068115234,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
137,PREDICTION,Weather_sf,InfTS-LLM (+v),386,15,0.000416,7.334166049957275,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
138,PREDICTION,Weather_sf,InfTS-LLM (+v),386,15,0.000416,7.53358006477356,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
139,PREDICTION,Weather_hs,TimeCAP,224,11,0.000246,1.8838489055633545,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:40
140,PREDICTION,Weather_hs,TimeCAP,224,11,0.000246,1.8124358654022217,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:40
141,PREDICTION,Weather_hs,TimeCAP,224,11,0.000246,1.7904558181762695,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:40
142,PREDICTION,Weather_hs,TimeCAP,224,9,0.000242,2.054243803024292,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:40
143,PREDICTION,Weather_hs,TimeCAP,224,11,0.000246,1.817087888717652,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
144,PREDICTION,Weather_hs,InfTS-LLM,386,13,0.000412,1.919132947921753,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
145,PREDICTION,Weather_hs,InfTS-LLM,386,13,0.000412,1.9674148559570312,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
146,PREDICTION,Weather_hs,InfTS-LLM,386,13,0.000412,1.9069182872772217,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
147,PREDICTION,Weather_hs,InfTS-LLM,386,13,0.000412,1.8797149658203125,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
148,PREDICTION,Weather_hs,InfTS-LLM,386,13,0.000412,1.9045729637146,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
149,PREDICTION,Weather_hs,InfTS-LLM (+v),386,12,0.00041,6.524461030960083,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
150,PREDICTION,Weather_hs,InfTS-LLM (+v),386,12,0.00041,7.55869197845459,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
151,PREDICTION,Weather_hs,InfTS-LLM (+v),386,12,0.00041,6.269541025161743,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
152,PREDICTION,Weather_hs,InfTS-LLM (+v),386,12,0.00041,7.212264060974121,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
153,PREDICTION,Weather_hs,InfTS-LLM (+v),386,12,0.00041,5.543648958206177,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_hs/predict-Weather_hs/predict_response.log,2025/9/15 4:41
154,PREDICTION,Healthcare_mortality,TimeCAP,272,18,0.000308,2.5951685905456543,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:41
155,PREDICTION,Healthcare_mortality,TimeCAP,272,18,0.000308,2.54238510131836,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:41
156,PREDICTION,Healthcare_mortality,TimeCAP,272,18,0.000308,2.0868589878082275,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:41
157,PREDICTION,Healthcare_mortality,TimeCAP,272,18,0.000308,2.4190337657928467,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:41
158,PREDICTION,Healthcare_mortality,InfTS-LLM,434,20,0.000474,2.728320837020874,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:41
159,PREDICTION,Healthcare_mortality,InfTS-LLM,434,20,0.000474,2.566670179367065,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:42
160,PREDICTION,Healthcare_mortality,InfTS-LLM,434,20,0.000474,2.4900619983673096,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:42
161,PREDICTION,Healthcare_mortality,InfTS-LLM,434,20,0.000474,2.574941873550415,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:42
162,PREDICTION,Healthcare_mortality,InfTS-LLM (+v),434,20,0.000474,5.510699987411499,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:42
163,PREDICTION,Healthcare_mortality,InfTS-LLM (+v),434,20,0.000474,3.563010931015014,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:42
164,PREDICTION,Healthcare_mortality,InfTS-LLM (+v),434,18,0.00047,4.413345098495483,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:42
165,PREDICTION,Healthcare_mortality,InfTS-LLM (+v),434,18,0.00047,3.972334146499634,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_mortality/predict-Healthcare_mortality/predict_response.log,2025/9/15 4:42
