Index,Dataset,Representative_Subsequence_Positions,DetectTime
253,QATS-4,"[100,120],[473,513],[749,788],[1018,1048],[1102,1142],[1236,1256],[1261,1299],[1541,1562],[2028,2068],[2796,2836],[2842,2902],[2947,3038],[5849,5889],[8967,9007],[9014,9228],[9319,9359],[9360,9400],[9447,9517],[9561,9601],[9612,9708],[9712,9781],[9816,9856],[10004,10044],[10132,10172],[10206,10246],[10257,10317],[10713,10753],[11122,11162],[11262,11302],[11344,11478],[11482,11522],[12485,12537],[12548,12588],[12606,12772],[14277,14329],[15113,15153],[15193,15262],[15299,15360],[15363,15428],[15576,15636],[16091,16131],[16365,16432],[16529,16640],[16873,16913],[17137,17197],[17395,17471],[17902,17942],[18107,18147],[19103,19143],[19160,19233],[19337,19415],[19928,19968],[20210,20250],[20327,20367],[20577,20617],[21491,21531],[21604,21644],[21747,21787],[21827,21910],[22114,22154],[23010,23050],[23102,23173],[23251,23291],[23377,23417],[23496,23554],[23555,23595],[23739,23829],[23987,24027],[24555,24732],[24761,24852]",54.6819
254,QATS-4,"[217,257],[492,532],[1027,1047],[1262,1283],[1512,1538],[1724,1793],[1950,2160],[2189,2237],[2253,2748],[2784,2824],[3801,3877],[3892,3932],[3940,4016],[4038,4100],[4713,4753],[5849,5909],[5917,6072],[6076,6116],[6124,6165],[7152,7172],[7225,7349],[7360,7425],[7432,7554],[7555,7595],[7641,7681],[7735,7867],[7897,7956],[8424,8464],[9618,9658],[9690,9730],[9755,9821],[9822,9886],[9926,10005],[11246,11425],[11501,11541],[11666,11706],[11755,11907],[12521,12561],[13178,13242],[13383,13485],[13512,13693],[13699,13992],[14032,14072],[14116,14156],[14166,14247],[14258,14395],[14398,14782],[14789,14988],[14995,15297],[15305,15424],[15433,15531],[15585,15697],[15731,16053],[16069,16121],[16345,16554],[16572,16667],[16745,16866],[16875,16991],[17521,17561],[17997,18064],[18098,18138],[18180,18220],[18931,19009],[19018,19122],[19129,19221],[19716,19756],[19780,19988],[21230,21270],[21277,21345],[21346,21386],[21390,21430],[21477,21517],[23603,23643],[24291,24357],[24369,24409],[24510,24587],[24603,24796],[24999,25039],[25057,25097],[25122,25143],[25417,25457],[25500,25578],[25600,25817],[25865,25964],[25967,26007],[26048,26088],[26091,26155],[26328,26625],[26634,26737],[26750,27065],[27078,27118],[27164,27343],[27372,27412],[27414,27624],[27660,27896],[27907,28122],[28127,28223]",78.7774
255,QATS-4,"[100,120],[605,625],[1029,1234],[1273,1344],[1424,1532],[1775,1846],[1856,1898],[1917,2085],[2097,2345],[2384,2585],[2649,2709],[2794,2834],[2839,3016],[3088,3128],[3142,3182],[3193,3254],[3269,3309],[3322,3362],[3545,3585],[3683,3750],[3801,3841],[3911,3991],[4047,4087],[4982,5044],[5457,5497],[5564,5604],[6407,6447],[6450,6512],[6539,6645],[6647,6708],[6735,6755],[6769,6809],[6909,6930],[7051,7091],[7166,7186],[7326,7366],[7446,7582],[7605,7697],[7707,7747],[7896,7956],[8051,8091],[8409,8449],[8705,8770],[8850,8914],[8917,8961],[9131,9238],[9251,9291],[9365,9405],[9457,9519],[9698,9794],[9851,9949],[9968,10008],[10033,10073],[10220,10260],[10427,10503],[10825,10865],[11082,11122],[11248,11288],[11480,11520],[11525,11565],[11589,11629],[11709,11793],[11869,11909],[12105,12145],[12248,12288],[12508,12582],[12593,12633],[12636,12741],[12760,12820],[13291,13358],[13367,13613],[13971,14035],[14206,14266],[14417,14457],[14716,14756],[14942,14983],[15067,15136],[15710,15751],[15867,15907],[16251,16291],[16344,16384],[16402,16442],[16860,16900],[16906,16946],[17709,17749],[18381,18421]",36.5208
256,QATS-4,"[100,361],[609,629],[641,661],[962,1002],[4559,4599],[4622,4736],[4747,4809],[4844,4884],[5051,5091],[5100,5140],[5229,5269],[5337,5377],[5383,5514],[5517,5604],[5611,5651],[5726,5766],[5788,5828],[5869,5933],[5934,6077],[6078,6515],[6617,6694],[6724,6903],[7008,7195],[7209,7312],[7314,7485],[7492,7595],[7606,7775],[7949,8104],[8125,8654],[8658,8793],[8848,8999],[9009,9084],[9100,9140],[9156,9335],[9377,9624],[9648,9688],[9695,9735],[9738,9876],[9881,10097],[10098,10630],[10646,10881],[10897,11915],[11976,12016],[12045,12085],[12090,12249],[12260,12300],[12409,12945],[13023,13063],[13070,13110],[13140,13320]",17.0755
257,QATS-4,"[220,257],[262,282],[494,533],[985,1005],[1006,1027],[2777,2817],[2871,2911],[2921,2961],[2963,3003],[3004,3044],[3553,3781],[3803,3843],[3983,4023],[4057,4255],[4284,4324],[4574,4673],[4676,4739],[4796,4836],[5334,5374],[6361,6402],[6646,6686],[6873,6965],[6969,7009],[7014,7089],[7129,7169],[7641,7699],[7890,7930],[9196,9236],[9242,9302],[9347,9438],[12229,12269],[12288,12308],[12449,12541],[12595,12635],[12787,12847],[12891,13760],[13817,13857],[13861,14243],[14246,14354],[14483,14523],[14691,14731],[14734,14814],[14966,15006],[15087,15127],[15130,15170],[15338,15416],[15427,15518],[15550,15636],[15836,15876],[16224,16264],[16600,16692],[16694,16771],[16783,16823],[16856,16896],[16951,17083],[17673,17737],[17808,17881],[18648,18688],[19195,19235],[20234,20274],[20294,20554],[20556,20816],[20824,20864],[21126,21312],[21319,21359],[21370,21410],[21412,21452],[21466,21566],[21571,21611],[22236,22276],[22277,22520],[22751,22829],[22835,22921],[23757,23797],[23800,23860],[23882,23942]",50.1829
258,QATS-4,"[100,120],[214,234],[485,505],[962,1002],[1752,1792],[1810,1850],[2241,2393],[2729,2816],[3559,3599],[3782,3882],[3918,3958],[4052,4092],[4097,4137],[4242,4349],[4569,4629],[4828,4868],[4901,4941],[4998,5078],[6380,6420],[6437,6460],[6649,6689],[6875,7089],[7129,7188],[7641,7681],[7890,7930],[8172,8212],[9196,9236],[9242,9302],[9347,9438],[12248,12288],[12643,12683],[13965,14005],[14018,14228],[14463,14503],[15407,15467],[15813,15853],[15872,15915],[16059,16129],[16856,17025],[17026,17066],[17081,17121],[17350,17401],[17447,17619],[17623,17664],[19148,19228],[19288,19524],[19534,19653],[19672,19733],[19822,20786],[20790,20830],[20874,20914],[20948,20988],[21218,21383],[22266,22306]",45.3594
259,QATS-4,"[100,120],[473,513],[749,788],[1018,1048],[1122,1142],[1236,1256],[1261,1299],[1541,1562],[2028,2068],[2797,2837],[2842,2902],[2947,3038],[3052,3092],[5849,5889],[8967,9007],[9014,9228],[9319,9359],[9360,9400],[9447,9517],[9560,9600],[9612,9708],[9712,9781],[9817,9857],[10004,10044],[10132,10172],[10206,10246],[10257,10317],[10713,10753],[11122,11162],[11225,11265],[11477,11539],[12505,12545],[12552,12592],[12606,12673],[12681,12808],[14297,14337],[14994,15034],[15248,15288],[15304,15373],[15444,15484],[15491,15776],[15792,15880],[15894,15934],[16046,16574],[16581,16621],[16622,16969],[16985,17487],[17529,17709],[17753,17941],[18110,18286],[18287,18347],[18691,18731],[18810,18850],[19318,19358],[19789,19856],[19890,19930],[19969,20009],[20724,20844],[20935,21012],[21034,21094],[21137,21177],[21783,21846],[22482,22572],[22590,22784],[23959,24030],[24062,24102],[24301,24381],[24652,24692],[24712,24752],[25068,25108],[28105,28145],[28151,28213],[28228,28268],[28635,28710],[28720,28898],[29149,29189],[29193,29233],[29268,29328],[29329,29398],[29400,29440],[30461,30501],[30728,30934],[30937,30977],[30980,31020],[31022,31062],[31084,31144],[31257,31297],[31429,31607],[31613,31744],[31748,31827],[31848,31954],[31959,32371],[32382,32422],[32431,32567],[34736,34816],[34864,34904]",108.1861
260,QATS-4,"[217,257],[511,555],[749,777],[801,821],[1204,1224],[1262,1283],[2175,2215],[2311,2399],[2409,2449],[2469,2509],[2531,2571],[2837,2920],[2925,3076],[3172,3212],[3217,3257],[3280,3320],[3372,3551],[3579,3648],[3653,3718],[3722,3788],[3801,3841],[4379,4439],[4448,4488],[4498,4538],[5863,5903],[5936,5976],[6000,6040],[6066,6106],[6149,6189],[6618,6658],[6662,6702],[6798,6818],[6827,6847],[7163,7235],[7309,7329],[8222,8262],[8273,8369],[8371,8435],[8792,8857],[9539,9619],[10189,10232],[10246,10496],[10501,10541],[10719,10759],[10822,10949],[10986,11026],[11030,11114],[11300,11340],[11485,11525],[11724,11828],[11850,11910]",14.1228
261,QATS-4,"[352,372],[473,493],[658,678],[750,789],[1770,1793],[3487,3509],[3604,3624],[4753,4909],[4980,5044],[5350,5483],[5489,5585],[5604,5644],[5957,5997],[6031,6106],[6249,6310],[6340,6380],[6483,6523],[6728,6768],[6770,6810],[6888,6961],[7274,7314],[7316,7356],[7517,7557],[7584,7605],[7748,7788],[7823,7949],[8008,8048],[8067,8117],[8165,8205],[8451,8491],[8556,8634],[8756,8796],[8828,8981],[8995,9150],[9157,9295],[10099,10267],[10468,10489],[10713,10753],[10758,10798],[10803,10863],[10882,10922],[10924,10964],[10981,11021],[11390,11430],[11706,11746],[11850,11890],[11915,11955],[12269,12309],[12347,12432],[12466,12506],[12524,12564],[12629,12703],[13041,13081],[13106,13146],[13318,13378],[13527,13567],[13587,13627],[14223,14263],[14691,14731],[14734,14774],[15155,15270],[15283,15343],[15349,15389],[17506,17546],[17551,17591],[18140,18180],[18218,18305],[18306,18346],[18361,18401],[18412,18475]",34.5465
262,QATS-4,"[100,120],[473,513],[749,788],[1018,1048],[1122,1142],[1236,1256],[1261,1299],[1541,1562],[2028,2068],[2797,2817],[2844,2882],[2998,3038],[3052,3092],[5849,5889],[6029,6069],[6383,6423],[6435,6480],[6504,6651],[6732,6772],[6782,6822],[6949,7011],[7129,7216],[7221,7261],[7290,7424],[7513,7582],[7716,7896],[8025,8113],[8389,8429],[8454,8494],[8516,8620],[8632,8672],[8684,8724],[8901,8941],[9015,9055],[9089,9129],[9146,9234],[9925,10113],[10217,10370],[10433,10496],[10702,10847],[10880,10920],[10940,10980],[11518,11558],[11973,12013],[12035,12098],[12100,12309],[12803,12899],[12903,13026],[13035,13075],[13243,13283],[14095,14135],[14137,14177],[14210,14250],[14266,14306],[14316,14356],[14989,15029],[15030,15070],[15071,15138],[15149,15215]",25.3716
263,QATS-4,"[100,120],[214,234],[485,505],[962,1002],[1752,1850],[2018,2176],[2241,2393],[2490,2530],[2543,2583],[2615,2677],[2679,2719],[2729,2816],[3559,3599],[3782,3882],[3918,3958],[4039,4079],[4097,4137],[4242,4336],[4569,4629],[4809,4849],[4901,4941],[4998,5078],[6361,6401],[6405,6528],[6529,6657],[6692,6712],[7136,7267],[7272,7312],[7315,7394],[7403,7443],[7514,7554],[7645,7685],[7812,7852],[8056,8096],[8145,8185],[8197,8237],[8399,8459],[8463,8503],[8516,8725],[9334,9396],[9491,9553],[11487,11540],[11783,11890],[11925,12051],[12133,12153],[12613,12633],[12808,12828],[13040,13094],[13104,13222],[13242,13323],[13405,13425],[14063,14085],[15102,15142],[15326,15366],[17118,17204],[17385,17447],[17713,17753],[18392,18432],[18436,18483],[18490,18680],[19423,19502],[19540,19600],[19601,19688],[19942,19987],[20219,20260],[20262,20302],[20314,20421],[20440,20500],[20562,20664],[20672,20712],[20881,20921],[21212,21327],[21371,21521],[21559,21691],[21730,21770],[21903,21943],[22057,22097],[22143,22183],[22511,22533],[22536,22576],[23655,23695],[23723,23763],[23802,23842],[23855,23895],[24661,24701],[25816,25912],[25927,25967]",65.1929
264,QATS-4,"[217,257],[492,532],[1027,1047],[1262,1283],[1512,1538],[1950,2160],[2189,2237],[2253,2748],[2784,2824],[3802,3878],[3892,3932],[3939,4004],[4012,4052],[4062,4102],[4713,4753],[5849,5909],[5917,6072],[6076,6165],[7152,7212],[7219,7259],[7359,7399],[7408,7472],[7476,7516],[7657,7766],[8133,8216],[8231,8311],[8452,8492],[8909,9021],[11437,11520],[11568,11608]",14.7286
265,QATS-4,"[118,138],[473,493],[547,567],[743,811],[1050,1070],[1261,1301],[1306,1327],[2630,2690],[2711,2786],[3043,3116],[3140,3180],[3209,3299],[3307,3347],[4073,4113],[4132,4226],[4247,4287],[4332,4372],[4379,4419],[4420,4482],[4557,4597],[4825,4994],[4997,5037],[5070,5110],[6106,6148],[6524,6564],[6656,6696],[6702,6973],[6978,7018],[7178,7218],[7281,7611],[7632,7742],[7751,7929],[8035,8075],[8153,8253],[8269,8386],[8418,8458],[8467,8660],[9045,9085],[9101,9141],[9150,9223],[9393,9433],[9471,9511],[9548,9836],[9866,9906],[9914,10634],[10641,10754],[10756,11192],[11498,11644],[11652,11727],[12058,12153],[12184,12266],[12351,12463],[12467,12507],[12604,12704],[12906,12946],[13016,13107],[13171,13211],[13285,13311],[13362,13466],[13502,13542],[13550,13619],[14443,14483],[14533,14573],[14587,14627],[14639,14767],[14808,14894],[16875,16982],[16991,17118],[17132,17172],[17463,17503],[18093,18133],[18250,18295]",31.2512
266,QATS-4,"[100,120],[845,865],[962,1002],[2265,2305],[2491,2561],[3052,3201],[3211,3273],[5081,5121],[5338,5411],[5428,5468],[5475,5515],[5599,5639],[5700,5740],[5876,5916],[6005,6045],[6105,6146],[6201,6274],[6284,6324],[6338,6402],[7048,7088],[7471,7511],[7532,7592],[7627,7667],[7699,7739],[7897,7937],[7987,8198],[8215,8255],[8310,8350],[8668,8753],[8756,8912],[8921,8961],[9103,9143],[9157,9197],[9235,9275],[9285,9463],[9694,9793],[9796,9883],[9898,10005],[10454,10494],[11480,11540],[11756,11776],[11779,11842],[11843,12246],[12275,12366],[12381,12461],[12473,12551],[12591,12655],[12665,12764],[12847,12908],[12974,13168],[15851,15914],[15988,16028]",25.6042
267,QATS-4,"[88,128],[212,252],[876,1044],[1049,1089],[2827,2867],[2971,3053],[3058,3157],[5081,5141],[5357,5397],[5593,5685],[5689,5729],[5734,5809],[5820,5880],[6361,6401],[6610,6650],[7916,7956],[7962,8022],[8067,8158],[10973,11013],[11271,11311],[11329,11459],[11499,11539],[12543,12583],[12612,12672],[12684,12724],[12732,12792],[13331,13371],[13457,13497],[13503,13574],[14177,14217],[14429,14489],[14550,14610],[14615,14655],[14680,14720],[14768,14828],[14897,14937],[14962,15002],[15131,15171],[15356,15396],[15476,15516],[15597,15637],[15970,16010],[16090,16156],[16175,16215],[16416,16456],[16586,16692],[16969,17040],[17201,17241],[17878,17918],[17933,17973],[17978,18168],[18911,18990],[19028,19088],[19089,19176],[19416,19456],[20548,20608],[20671,20711],[21066,21140],[21340,21380],[21701,21741],[21763,21803],[21947,22036],[22237,22277],[22507,22656],[22658,22698],[22699,22739],[22763,22803],[23765,23805],[23998,24038],[24134,24174],[24535,24575],[24790,24859],[24875,24915],[24924,25029],[25048,25088],[25312,25352],[25559,25619],[25637,25877],[25990,26030],[26077,26117],[26139,26179],[26275,26315],[26395,26435],[26511,26551],[26755,26795],[27084,27124],[27333,27373],[27447,27487],[27496,27579],[27609,27669],[27808,27848],[27869,27909],[28157,28353],[28396,28461],[28547,28587],[28630,28670],[28690,28730],[28743,28783],[29130,29190],[29203,29278]",93.1557
268,QATS-4,"[100,120],[328,348],[962,1002],[3127,3167],[3545,3585],[3771,3842],[4569,4627],[4733,4773],[5075,5115],[5872,5912],[5945,5985],[5987,6036],[6105,6145],[6211,6273],[6355,6395],[6691,6804],[6910,6950],[7013,7053],[7239,7279],[7405,7467],[7611,7651],[7659,7699],[7760,7800],[8084,8124],[8408,8448],[8529,8569],[8582,8649],[8763,8803],[8812,8872],[8885,8953],[9052,9128],[9595,9635],[9734,9774],[9834,9874],[9942,9982],[9984,10024],[10086,10126]",9.3447
269,QATS-4,"[100,120],[473,513],[749,788],[1018,1048],[1122,1142],[1236,1256],[1261,1299],[1541,1562],[2028,2068],[2797,2837],[2842,2902],[2947,3038],[5849,5889],[6026,6066],[6525,6565],[6617,6657],[6699,6739],[6740,6897],[7915,8066],[8092,8193],[8307,8347],[8428,8468],[8519,8724],[9054,9143],[9653,9748],[9964,10004],[10117,10157],[10183,10223],[11077,11117],[11119,11276],[11858,11954],[12106,12146],[12250,12290],[12335,12425],[12428,12468],[12477,12517],[12522,12562],[13036,13077],[13429,13469],[13568,13608],[13613,14179],[14188,14354],[14360,14400],[14456,14516],[14600,14776],[14793,14833],[14927,14983],[15065,15205],[15208,15323],[15325,15434],[15437,15604],[15611,15824],[15836,15952],[15956,16052],[16062,16334],[16350,16390],[16402,16442],[16475,16515],[16521,16561],[16582,16622],[16627,16688],[16696,16773],[16778,16906],[17758,17819],[18003,18100],[18410,18475],[18481,18635],[18993,19053],[19071,19193],[19265,19421],[19517,19585],[19772,19864],[19930,19971],[20188,20262],[20273,20313],[20316,20421],[20440,20500],[20957,20997],[21043,21209],[21223,21263],[21882,21946],[22726,22791],[22839,22879],[22880,22971],[23016,23056],[23218,23258],[23528,23588],[23603,23643],[23645,23745],[23779,23851],[23917,23989],[24005,24045],[24081,24121],[24134,24309],[24539,24730],[25302,25342],[26344,26388],[26507,26527],[27021,27096],[27204,27244],[27280,27351],[27365,27444],[27464,27504],[27513,27573],[27575,27615],[27891,27931],[28205,28245],[28286,28634],[28652,28726],[29101,29141],[29567,29607],[29630,29736],[29912,29995]",100.501
270,QATS-4,"[100,120],[214,234],[485,505],[962,1002],[1752,1850],[2029,2156],[2241,2393],[2490,2530],[2543,2583],[2615,2677],[2679,2719],[2729,2816],[3559,3599],[3782,3882],[3918,3958],[4055,4095],[4097,4137],[4242,4349],[4569,4629],[4809,4882],[4901,4941],[4998,5078],[6380,6421],[6437,6460],[6656,6676],[6885,6925],[6939,7083],[7085,7125],[7148,7188],[8409,8664],[8676,8716],[11492,11532],[11565,11605],[11710,11786],[12229,12309],[12537,12577],[12761,12977],[12989,13050],[13515,13555],[13777,13817],[14060,14100],[14249,14336],[14436,14476],[14896,14936],[15065,15105],[15110,15190],[15199,15380],[18117,18157],[18168,18188],[18381,18421],[18649,18689],[18901,18961],[19281,19321],[19401,19461],[19465,19505],[19508,19665],[19672,19732],[20305,20345],[20387,20427],[20509,20549],[20598,20667],[20938,21029],[21043,21083],[21084,21188],[21227,21304],[21321,21405],[21408,21448],[21457,21523],[21785,21825],[21905,21945],[22132,22172],[22349,22389],[22508,22580],[22599,22659],[22735,22795],[22839,22971],[22992,23061],[23153,23193],[23510,23551],[23603,23769],[23789,23829],[24245,24285],[24536,24576],[25333,25373],[25444,25484],[25668,25736],[25811,25851],[25935,25975],[25980,26020],[26033,26094],[26100,26140],[26186,26260],[26460,26500],[26822,26862],[26880,26923],[27067,27136],[27357,27397],[27608,27777],[27778,27818],[27833,27873],[27884,27924],[28149,28189],[28269,28309],[28509,28549],[29028,29068]",77.1595
271,QATS-4,"[100,120],[605,625],[1029,1234],[1273,1344],[1444,1505],[1775,1846],[1856,1898],[1941,2085],[2097,2183],[2190,2230],[2233,2345],[2384,2585],[2649,2709],[2794,2834],[2839,3016],[3088,3128],[3142,3182],[3194,3254],[3269,3309],[3322,3362],[3545,3585],[3683,3750],[3801,3841],[3911,4011],[4977,5017],[5356,5396],[5457,5522],[5564,5604],[6407,6448],[6450,6512],[6574,6673],[7684,7724],[7782,7846],[7873,7913],[7920,7997],[8133,8193],[8221,8241],[8264,8469],[8527,8567],[8643,8705],[8707,8784],[8806,8846],[8849,8999],[9014,9170],[9175,9215],[9425,9589],[9597,9637],[9675,9784],[9805,9845],[10267,10377],[10397,10437],[10457,10497],[10731,10771],[10833,10873],[11994,12034],[12091,12131],[12210,12287],[13288,13332],[13412,13452],[13786,13910],[13926,13966],[13998,14038],[14046,14091],[14533,14573],[14801,14841],[15273,15360],[16089,16129],[16134,16214],[16223,16350],[19146,19218],[20989,21050],[21182,21245],[21255,21356],[21360,21553],[21703,21781],[21788,22062],[22343,22383],[22510,22550],[22559,22599],[22622,22662],[22754,22848],[22979,23077],[23174,23296],[23412,23452],[23496,23536],[23769,23855],[23993,24065],[24554,24594],[25564,25655],[26108,26148],[26377,26417],[26431,26471],[26489,26529],[26560,26600],[26603,26667]",93.4022
272,QATS-4,"[100,120],[241,261],[282,302],[1002,1023],[1155,1194],[1497,1518],[2170,2190],[2321,2350],[2785,2807],[3611,3734],[3745,3785],[3805,3845],[4076,4155],[4177,4218],[4763,4783],[4855,4922],[5337,5398],[5435,5475],[5554,5594],[6633,6673],[6876,7051],[7148,7188],[7652,7692],[7737,7808],[7821,7861],[7897,7957],[8558,8634],[9433,9473],[9527,9617],[9619,9659],[9695,9749],[10238,10397],[10477,10547],[10621,10681],[10712,10752],[10771,10811],[10832,10997],[11008,11028],[11228,11268],[11269,11329],[11335,11419],[11453,11493],[11990,12030],[13028,13068],[13319,13436],[13439,13567],[13786,13874],[14576,14630],[14640,14758],[14778,14859],[15067,15155],[15715,15755],[15774,15814],[15846,15911],[16123,16198],[16217,16400],[16417,16486],[16549,16727],[16730,16880],[19917,20020],[20030,20159],[20960,21000],[21006,21046],[21072,21159]",47.4164
273,QATS-4,"[100,120],[128,149],[1002,1022],[1137,1157],[2288,2309],[3289,3310],[4844,4885],[5051,5140],[5390,5614],[5623,5663],[5665,6104],[6247,6361],[6363,6403],[6641,6681],[6690,6730],[6832,6892],[6909,6970],[7133,7173],[7177,7240],[7254,7326],[7360,7473],[7560,7703],[9128,9216]",11.5633
274,QATS-4,"[217,257],[1508,1542],[5611,5651],[6212,6252],[6874,6914],[6919,6963],[6974,7041],[7049,7129],[7904,7983],[8040,8146],[8409,8469],[8739,8779],[8921,9137],[9138,9211],[9216,9236],[9689,9729],[9938,9978],[11244,11284],[11290,11350],[11395,11486],[14302,14356],[14386,14688],[15027,15067],[15158,15198],[15813,15865],[15876,15916],[15934,16083],[16088,16128],[17535,17605],[17625,17725],[18135,18175],[18262,18302],[18303,18343],[18412,18452],[21369,21440],[21449,21489],[21495,21557],[21572,21612],[21979,22079],[22104,22144],[22162,22242],[22493,22533],[22534,22603],[22613,22653],[22672,22742],[22755,22795],[23291,23331],[24330,24370],[24372,24520],[24523,24583],[24591,24672],[24687,24916],[24920,25003],[25005,25134],[25140,25180],[25562,25646],[25682,25722],[26319,26362],[26371,26616],[26827,26887],[26946,27013],[27037,27129],[27157,27197],[27317,27357],[27432,27472],[27849,27889],[27905,27945],[28005,28104],[28137,28177],[28691,28755],[28941,29009],[29016,29089],[29144,29227],[29400,29462],[30149,30189],[32946,33024]",83.8587
275,QATS-4,"[217,257],[1508,1542],[5611,5651],[6213,6233],[6874,6914],[6925,6965],[6970,7041],[7046,7129],[7904,7944],[7959,8080],[8083,8146],[8409,8449],[8542,8582],[8670,8710],[8757,8818],[8837,8897],[9428,9468],[9469,9509],[9516,9584],[9600,9640],[9678,9808],[9866,9906],[9945,9985],[10062,10236],[10240,10260],[10374,10414],[10422,10489],[10536,10576],[10597,10637],[10641,10791],[10806,10962],[10967,11027],[11233,11576],[11597,11637],[11742,11782],[11907,11947],[12059,12170],[12189,12229],[12251,12291],[12568,12608],[12626,12666],[12671,12711],[12764,12804],[13111,13151],[13303,13400],[13592,13632],[13750,13826],[13872,13912],[13944,13984],[14002,14042],[14056,14096],[14097,14137],[15030,15124],[15577,15683],[15684,15892],[17113,17193],[17203,17243],[17288,17366],[17381,17421],[20179,20225],[20414,20454],[20903,20943],[20952,21012],[21209,21249],[21339,21478],[21486,21525],[21725,21765],[22469,22509],[22523,22563],[22585,22625],[22632,22735],[22745,22805],[23051,23091],[23734,23774],[24173,24213],[24811,24918],[24927,25054],[25068,25141],[26023,26123],[26124,26164]",61.6681
276,QATS-4,"[100,120],[481,501],[1002,1022],[1490,1510],[1525,1545],[3545,3577],[4083,4103],[5081,5174],[5214,5254],[5258,5320],[5356,5633],[5661,5701],[5936,5976],[6085,6125],[6177,6243],[6248,6288],[6291,6370],[6379,6453],[7213,7253],[7385,7425],[7426,7521],[7553,7593],[7608,7673],[8310,8372],[8467,8507],[10457,10498],[10508,10551],[10749,10770],[11006,11026],[11289,11349],[11364,11404],[11443,11541],[11546,11586],[11755,11796],[11920,11960],[12035,12075],[12249,12309],[12525,12585],[12690,12821],[12874,12914],[12972,13012],[13340,13380],[13592,13632],[13636,13676],[13689,13729],[13738,13813],[13818,13858],[13869,13889],[14041,14106],[14269,14309],[14311,14351],[14809,14849],[14975,15015],[15046,15086],[15129,15169],[15293,15425],[15536,15634],[16088,16148],[16351,16391],[16537,16603],[16619,16659],[17204,17298],[17327,17429],[17435,17475],[18025,18106],[18420,18460],[18576,18616],[18625,18665],[18740,18760],[18936,18976],[18995,19035],[19049,19126],[19131,19171],[19214,19254],[19308,19348],[19417,19457],[19488,19528],[19680,19783],[19803,19964],[20072,20150],[20182,20222],[20240,20280],[20322,20382],[20384,20448],[20460,20500],[20682,20894],[20906,20946],[21462,21502],[22476,22516],[22528,22548],[22879,22919],[22929,22969],[22976,23016],[23542,23625],[23696,23804],[23818,23858],[23862,23998],[24025,24085],[24119,24159],[24168,24251],[24280,24340],[24347,24387],[24791,24831],[25193,25302],[25817,25857],[25888,25928],[25946,26042],[26049,26112],[26139,26296],[26329,26389],[26395,26435],[28140,28212],[28231,28291]",83.2322
277,QATS-4,"[100,120],[324,344],[1002,1022],[1303,1323],[1497,1517],[1793,1813],[3812,3842],[5532,5552],[6919,6939],[7652,7683],[7849,7889],[8159,8199],[8210,8336],[8340,8406],[8409,8449],[8453,8633],[8634,8705],[9177,9315],[9320,9360],[9363,9442],[9452,9492],[10461,10501],[10502,10542],[10551,10591],[10614,10674],[10682,10773],[11273,11313],[11362,11443],[11507,11547],[11561,11601],[11617,11657],[11822,11862],[12002,12042],[12284,12324],[12370,12410],[12467,12507],[12520,12560],[12624,12664],[13521,13588],[14044,14124],[14127,14147],[14148,14293],[14316,14356],[14487,14527],[15559,15599],[15618,15658],[18649,18689],[18737,18777]",34.1197
278,QATS-4,"[100,120],[328,348],[962,1002],[3127,3167],[3545,3585],[3771,3841],[4588,4737],[4747,4809],[5080,5140],[5337,5377],[5407,5562],[5612,5652],[5736,5776],[5801,5841],[6215,6255],[6361,6401],[6455,6567],[6576,6616],[6617,6657],[6711,6751],[6761,6801],[6803,6843],[6864,6904],[7143,7183],[7269,7378],[7747,7787],[7874,7934],[7938,7978],[8663,8703],[8807,8847],[8864,8904],[8923,8986],[9009,9049],[9059,9151],[9180,9237],[9687,9727],[9826,9866],[9882,9922],[10823,10863],[10969,11028],[11037,11192],[11196,11236],[11245,11316],[12054,12114],[12130,12190],[12227,12289],[12314,12354],[12504,12564],[13022,13062],[13274,13379],[13457,13588],[13619,13659],[13802,13868],[14085,14125],[14828,14868],[15042,15106],[16069,16129],[16303,16390],[16838,16917],[17083,17123],[17210,17250],[17270,17310],[17349,17389],[17454,17519],[17531,17571],[17582,17622],[17626,17666],[18509,18549],[18656,18681],[18806,18846],[18905,18945],[19029,19123],[19327,19367],[19486,19526],[19618,19658],[19659,19719],[19760,19885],[19902,19975],[19992,20135],[20246,20286],[20295,20355],[20366,20406],[20408,20614],[20618,20658],[20664,20755],[20847,20887],[20947,20987],[21028,21068],[21080,21120],[21256,21296],[21358,21458],[21467,21588],[21629,21669],[21786,21826],[21866,21946],[22057,22097],[22158,22198],[22243,22340],[22341,22479],[22491,22547],[22652,22692],[22791,22893],[22936,23018],[23058,23098],[23105,23254],[23297,23337],[23371,23432],[23437,23477],[23783,23828],[26250,26290],[26711,26751],[26808,26882],[26886,26926],[26964,27047],[27054,27156],[27344,27455],[27460,27500],[27519,27559],[27570,27643],[27736,27776],[27901,27941],[29132,29172],[29190,29230],[29301,29341],[30422,30462],[30468,30508],[30526,30620]",97.8501
279,QATS-4,"[100,120],[845,865],[962,1002],[2265,2297],[2491,2561],[3051,3200],[3211,3273],[5081,5121],[5375,5617],[5623,5697],[5701,6354],[6359,6719],[6740,6846],[6852,6892],[6909,6970],[7129,7217],[7219,7326],[7361,7473],[7557,7597],[7603,7700],[7818,7935],[7943,7983],[8612,8652],[9139,9216]",10.7648
